latitude,longitude,cone,type
0,0,0,T
0,0,0,T
0,0,0,T
0,0,0,T
0,0,0,T
0,0,0,T
42.39412167,-72.52638245,0,T
42.39412167,-72.52638245,0,T
42.39412167,-72.52638245,0,T
42.39412167,-72.52638245,0,T
42.39412167,-72.52638245,0,T
42.39412167,-72.52638245,0,T
42.39412167,-72.52638245,0,T
42.39412167,-72.52638245,0,T
42.39412167,-72.52638245,0,T
42.39412167,-72.52638245,0,T
42.39412167,-72.52638245,0,T
42.39412167,-72.52638245,0,T
42.39412167,-72.52638245,0,T
42.39412167,-72.52638245,0,T
42.39412167,-72.52638245,0,T
42.39412167,-72.52638245,0,T
42.39412167,-72.52638245,0,T
42.39412167,-72.52638245,0,T
42.39412167,-72.52638245,0,T
42.39412167,-72.52638245,0,T
42.39412333,-72.52639008,0,T
42.39412333,-72.52639008,0,T
42.39412333,-72.52639008,0,T
42.39412333,-72.52639008,0,T
42.39412333,-72.52639008,0,T
42.394125,-72.52639008,0,T
42.394125,-72.52639008,0,T
42.394125,-72.52639008,0,T
42.394125,-72.52639008,0,T
42.394125,-72.52639008,0,T
42.39412667,-72.52640533,0,T
42.39412667,-72.52640533,0,T
42.39412667,-72.52640533,0,T
42.39412667,-72.52640533,0,T
42.39412667,-72.52640533,0,T
42.39412833,-72.52640533,0,T
42.39412833,-72.52640533,0,T
42.39412833,-72.52640533,0,T
42.39412833,-72.52640533,0,T
42.39412833,-72.52640533,0,T
42.39412833,-72.52639008,0,T
42.39412833,-72.52639008,0,T
42.39412833,-72.52639008,0,T
42.39412833,-72.52639008,0,T
42.39412833,-72.52639008,0,T
42.39412667,-72.52639008,0,T
42.39412667,-72.52639008,0,T
42.39412667,-72.52639008,0,T
42.39412667,-72.52639008,0,T
42.39412667,-72.52639008,0,T
42.39412667,-72.52639008,0,T
42.39412667,-72.52639008,0,T
42.39412667,-72.52639008,0,T
42.39412667,-72.52639008,0,T
42.39412833,-72.52639771,0,T
42.39412833,-72.52639771,0,T
42.39412833,-72.52639771,0,T
42.39412833,-72.52639771,0,T
42.39412833,-72.52639771,0,T
42.39412833,-72.52639771,0,T
42.39412833,-72.52639771,0,T
42.39412833,-72.52639771,0,T
42.39412833,-72.52639771,0,T
42.39412833,-72.52639771,0,T
42.39412833,-72.52640533,0,T
42.39412833,-72.52640533,0,T
42.39412833,-72.52640533,0,T
42.39412833,-72.52640533,0,T
42.39412833,-72.52640533,0,T
42.39412833,-72.52640533,0,T
42.39412833,-72.52640533,0,T
42.39412833,-72.52640533,0,T
42.39412833,-72.52640533,0,T
42.39412833,-72.52640533,0,T
42.39412833,-72.52640533,0,T
42.39413,-72.52641296,0,T
42.39413,-72.52641296,0,T
42.39413,-72.52641296,0,T
42.39413,-72.52641296,0,T
42.39413,-72.52641296,0,T
42.39413,-72.52641296,0,T
42.39413,-72.52641296,0,T
42.39413,-72.52641296,0,T
42.39413,-72.52641296,0,T
42.39413,-72.52642059,0,T
42.39413,-72.52642059,0,T
42.39413,-72.52642059,0,T
42.39413,-72.52642059,0,T
